Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
001 DP - Sé;8.442;53;3.201;0;118;14;0;4;1;9;1;334;106;9;16;7;20;0;2020
001 DP - Sé;12.997;152;3.404;2;142;15;0;11;0;15;1;444;142;13;10;8;25;0;2019
002 DP - Bom Retiro;3.744;7;970;1;105;4;0;0;0;1;0;122;78;6;4;6;16;0;2020
002 DP - Bom Retiro;4.863;14;1.063;1;97;3;0;2;0;2;0;177;85;7;8;5;19;0;2019
003 DP - Campos Elísios;8.355;10;4.403;1;98;5;0;0;0;10;0;295;90;9;7;8;18;1;2020
003 DP - Campos Elísios;13.098;20;4.958;0;150;7;0;1;0;10;0;430;128;5;10;13;20;0;2019
004 DP - Consolação;4.286;4;1.649;0;170;2;0;3;0;5;0;158;49;3;5;2;9;0;2020
004 DP - Consolação;6.535;2;2.691;0;260;3;0;1;0;2;0;229;92;4;8;12;13;0;2019
005 DP - Aclimação;2.229;3;870;0;320;1;0;2;0;2;1;263;77;5;5;3;16;0;2020
005 DP - Aclimação;3.295;5;1.190;0;441;5;0;1;1;5;0;312;140;7;14;5;21;1;2019
006 DP - Cambuci;1.627;7;769;0;456;3;0;1;0;3;0;243;85;2;3;11;78;0;2020
006 DP - Cambuci;2.084;11;804;1;670;1;0;2;0;6;0;316;143;17;6;8;80;0;2019
007 DP - Lapa;2.445;14;1.132;2;581;3;0;1;0;4;0;151;121;9;4;7;67;0;2020
007 DP - Lapa;3.485;15;1.315;0;1.090;10;0;3;0;9;0;185;141;11;9;8;108;1;2019
008 DP - Brás;3.977;15;1.194;0;277;7;0;3;1;7;0;276;137;12;5;6;51;0;2020
008 DP - Brás;4.419;34;1.276;0;364;6;0;10;0;6;1;310;196;16;4;11;54;0;2019
009 DP - Carandiru;2.771;54;1.238;0;406;5;0;3;0;1;0;182;131;41;8;10;98;0;2020
009 DP - Carandiru;3.973;39;1.443;0;733;6;0;7;0;3;0;238;186;45;9;12;90;0;2019
01 DP Pessoa com Deficiência;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2020
01 DP Pessoa com Deficiência;2;0;0;0;0;0;0;0;0;0;0;6;0;0;1;1;0;0;2019
010 DP - Penha de França;1.514;18;1.192;1;467;6;0;6;1;11;0;349;172;15;4;16;142;0;2020
010 DP - Penha de França;2.049;34;1.263;1;959;1;0;4;0;3;0;362;220;21;13;27;176;0;2019
011 DP - Santo Amaro;3.071;10;1.846;0;388;1;0;6;0;8;1;255;177;53;4;4;145;1;2020
011 DP - Santo Amaro;4.918;6;2.185;1;679;5;0;7;2;12;0;264;246;41;16;7;187;1;2019
012 DP - Pari;5.947;59;1.849;0;288;17;0;4;1;9;0;314;140;24;9;11;57;1;2020
012 DP - Pari;7.180;144;2.037;2;310;6;0;1;0;9;0;351;226;15;15;3;73;1;2019
013 DP - Casa Verde;2.211;17;1.123;0;504;4;0;3;0;4;0;221;138;10;17;13;131;1;2020
013 DP - Casa Verde;3.686;27;1.400;1;555;6;0;6;0;6;1;414;262;46;10;11;220;1;2019
014 DP - Pinheiros;4.126;9;1.670;1;499;2;0;2;0;9;1;175;121;10;5;5;100;0;2020
014 DP - Pinheiros;8.755;10;2.591;0;738;5;0;3;1;3;1;304;246;23;8;9;117;2;2019
015 DP - Itaim Bibi;3.364;7;1.051;0;260;1;0;2;0;2;0;124;120;5;6;7;59;1;2020
015 DP - Itaim Bibi;5.595;6;1.175;1;354;1;0;1;0;3;0;143;186;8;8;3;46;1;2019
016 DP - Vila Clementino;2.256;5;1.223;1;675;2;0;1;1;0;1;480;221;27;9;11;198;2;2020
016 DP - Vila Clementino;3.169;8;1.372;1;824;3;0;2;1;9;0;343;194;56;7;10;303;1;2019
017 DP - Ipiranga;1.450;21;971;0;565;1;0;1;0;3;0;272;102;13;2;4;238;0;2020
017 DP - Ipiranga;1.824;33;1.109;0;838;1;0;3;1;4;0;266;152;19;3;8;384;0;2019
018 DP - Alto da Moóca;565;7;221;0;137;1;0;1;0;0;0;67;53;8;0;3;26;0;2020
018 DP - Alto da Moóca;842;10;224;1;138;1;0;1;0;1;0;85;62;25;0;1;27;0;2019
019 DP - Vila Maria;863;21;735;1;270;2;0;10;0;1;0;160;105;10;6;14;52;0;2020
019 DP - Vila Maria;1.150;27;778;1;351;3;0;8;1;8;1;191;140;10;7;14;91;0;2019
020 DP - Água Fria;1.265;6;745;0;333;8;0;1;0;2;0;290;181;10;4;18;98;0;2020
020 DP - Água Fria;1.412;19;844;0;335;5;0;4;0;10;0;393;226;10;7;22;137;0;2019
021 DP - Vila Matilde;1.118;9;1.286;1;449;4;0;4;1;1;0;270;135;8;6;17;141;0;2020
021 DP - Vila Matilde;1.408;19;1.205;0;571;3;0;4;0;8;0;297;186;21;8;18;206;0;2019
022 DP - São Miguel Paulista;1.554;15;1.260;0;251;7;0;6;0;4;1;296;106;9;2;31;147;0;2020
022 DP - São Miguel Paulista;2.094;34;1.279;0;346;6;0;2;0;13;0;299;131;10;6;16;204;0;2019
023 DP - Perdizes;4.628;8;1.643;0;508;1;0;4;1;5;0;169;89;4;3;6;68;0;2020
023 DP - Perdizes;7.924;9;2.066;0;748;5;0;5;1;2;0;297;193;14;11;12;84;0;2019
024 DP - Ponte Rasa;1.392;9;1.096;1;454;8;0;6;1;5;1;385;120;9;10;24;90;0;2020
024 DP - Ponte Rasa;1.750;14;1.078;0;596;8;0;5;0;5;0;452;168;11;8;36;136;0;2019
025 DP - Parelheiros;876;18;1.203;1;111;30;0;6;0;4;0;353;113;2;12;56;154;0;2020
025 DP - Parelheiros;1.090;26;1.190;1;147;20;0;8;1;15;1;473;168;5;19;38;218;0;2019
026 DP - Sacomã;538;11;662;0;182;0;0;1;0;4;0;317;55;8;5;6;151;0;2020
026 DP - Sacomã;535;13;746;3;128;1;0;1;0;0;0;272;80;6;0;5;243;0;2019
027 DP - Campo Belo;1.584;10;1.105;0;265;0;0;3;0;3;0;239;129;32;7;12;153;1;2020
027 DP - Campo Belo;2.193;10;955;0;323;3;0;0;1;6;0;285;276;48;7;6;212;1;2019
028 DP - Freguesia do Ó;1.468;37;1.034;1;299;4;0;2;0;5;0;290;167;9;8;16;140;0;2020
028 DP - Freguesia do Ó;1.545;48;1.240;1;343;7;0;0;0;4;0;323;211;9;8;14;321;1;2019
029 DP - Vila Diva;512;4;484;1;404;4;0;2;0;3;0;121;70;2;3;5;87;0;2020
029 DP - Vila Diva;686;5;583;0;595;1;0;6;0;2;0;155;99;7;5;7;131;0;2019
030 DP - Tatuapé;1.873;5;921;0;870;2;0;7;0;7;0;168;147;8;7;5;133;0;2020
030 DP - Tatuapé;2.652;12;947;0;1.053;7;0;4;0;3;0;293;222;26;10;4;153;1;2019
031 DP - Vila Carrão;400;8;395;1;317;1;0;3;0;3;0;115;82;8;1;7;52;0;2020
031 DP - Vila Carrão;516;7;422;0;379;1;0;1;0;3;0;109;87;7;1;5;73;0;2019
032 DP - Itaquera;1.152;7;1.267;0;318;3;0;2;0;8;0;289;120;8;9;25;153;0;2020
